ACACA	ACACB
ACACA	MCAT
ACACA	PRKAA1
ACACA	BRCA1
ACACA	ACSS1
ACACA	ACSS2
ACACA	PRKAA2
ACACA	HLCS
ACACA	CAD
ACACA	CPS1
ACACA	CARNS1
ACACA	FASN
ACACA	PRKAG1
ACACA	KIAA0368
ACACA	PRKAB1
ACACA	ACAT1
ACACA	ACAT2
ACACA	OXSM
ACACA	EPRS
ACACA	PRKAG2
ACACA	ALDH6A1
ACACA	SLC5A6
ACACA	ACOT12
ACACA	MLX
ACACA	HSD17B4
ACACA	PRKAG3
ACACA	TIA1
ACACA	TIAL1
ACACA	CS
ACACA	SUCLG1
ACACA	SPAG4
ACACA	SUN1
ACACA	SUN2
ACACA	SUN3
ACACA	SUN5
ACACA	SUCLA2
ACACA	SUCLG2
ACACA	MLYCD
ACACA	AACS
ACACA	ACSM1
ACACA	ACSM2A
ACACA	ACSM2B
ACACA	ACSM3
ACACA	ACSM4
ACACA	ACSM5
ACACA	ACSS3
ACACA	C10orf129
ACACA	FDFT1
ACACA	NDUFAF6
ACACA	E2F1
ACACA	E2F2
ACACA	E2F3
ACACA	E2F4
ACACA	E2F5
ACACA	E2F6
ACACA	MCCC1
ACACA	PCCA
ACACA	BCKDHB
ACACA	PDHB
ACACA	PIKFYVE
ACACA	ISG15
ACACA	NEDD8
ACACA	OAS1
ACACA	OAS2
ACACA	OAS3
ACACA	OASL
ACACA	RAD23A
ACACA	RAD23B
ACACA	RPS27A
ACACA	UBA52
ACACA	UBB
ACACA	UBBP4
ACACA	UBD
ACACA	UBL4A
ACACA	UBL4B
ACACA	UBQLN1
ACACA	UBQLN2
ACACA	UBQLN4
ACACA	UBQLNL
ACACA	ZFAND4
ACACA	IL4
ACACA	RRAGA
ACACA	RRAGB
ACACB	MCAT
ACACB	HLCS
ACACB	ACSS1
ACACB	ACSS2
ACACB	PRKAA2
ACACB	CAD
ACACB	CPS1
ACACB	CARNS1
ACACB	FASN
ACACB	KIAA0368
ACACB	ACAT1
ACACB	ACAT2
ACACB	OXSM
ACACB	EPRS
ACACB	PRKAG2
ACACB	ALDH6A1
ACACB	SLC5A6
ACACB	ACOT12
ACACB	MLX
ACACB	SP1
ACACB	PRKAA1
ACACB	HSD17B4
ACACB	PRKAG1
ACACB	PRKAG3
ACACB	TIA1
ACACB	TIAL1
ACACB	CS
ACACB	SUCLG1
ACACB	SPAG4
ACACB	SUN1
ACACB	SUN2
ACACB	SUN3
ACACB	SUN5
ACACB	SUCLA2
ACACB	SUCLG2
ACACB	CPT1A
ACACB	CPT1B
ACACB	CPT1C
ACACB	MLYCD
ACACB	PRKAB1
ACACB	AACS
ACACB	ACSM1
ACACB	ACSM2A
ACACB	ACSM2B
ACACB	ACSM3
ACACB	ACSM4
ACACB	ACSM5
ACACB	ACSS3
ACACB	C10orf129
ACACB	FDFT1
ACACB	NDUFAF6
ACACB	E2F1
ACACB	E2F2
ACACB	E2F3
ACACB	E2F4
ACACB	E2F5
ACACB	E2F6
ACACB	MCCC1
ACACB	PCCA
ACACB	BCKDHB
ACACB	PDHB
ACACB	PIKFYVE
ACACB	ISG15
ACACB	NEDD8
ACACB	OAS1
ACACB	OAS2
ACACB	OAS3
ACACB	OASL
ACACB	RAD23A
ACACB	RAD23B
ACACB	RPS27A
ACACB	UBA52
ACACB	UBB
ACACB	UBBP4
ACACB	UBD
ACACB	UBL4A
ACACB	UBL4B
ACACB	UBQLN1
ACACB	UBQLN2
ACACB	UBQLN4
ACACB	UBQLNL
ACACB	ZFAND4
ACACB	IL4
ACACB	RRAGA
ACACB	RRAGB
MCAT	FASN
MCAT	MRPS16
MCAT	OXSM
MCAT	MLYCD
PRKAA1	FOXO1
PRKAA1	CAB39
PRKAA1	STRADA
PRKAA1	CCNH
PRKAA1	ERCC2
PRKAA1	ERCC3
PRKAA1	GTF2H1
PRKAA1	CDK9
PRKAA1	CHUK
PRKAA1	CRY1
PRKAA1	MNAT1
PRKAA1	MMS19
PRKAA1	FOXO3
PRKAA1	IKBKB
PRKAA1	MAP3K7
PRKAA1	RPTOR
PRKAA1	MTOR
PRKAA1	RHEB
PRKAA1	PPARGC1A
PRKAA1	PPP2CA
PRKAA1	PRKAA2
PRKAA1	PRKAG1
PRKAA1	TSC2
PRKAA1	AKT1S1
PRKAA1	CRY2
PRKAA1	STK11
PRKAA1	CAMKK1
PRKAA1	CCNT1
PRKAA1	CFTR
PRKAA1	IKBKG
PRKAA1	GTF2H3
PRKAA1	HMGCR
PRKAA1	PRKAB1
PRKAA1	PRKAG2
PRKAA1	PRKAG3
PRKAA1	PFKFB2
PRKAA1	CRTC2
PRKAA1	EEF2K
PRKAA1	PPM1A
PRKAA1	CAB39L
PRKAA1	LEP
PRKAA1	LEPR
PRKAA1	STRADB
PRKAA1	TSC1
PRKAA1	CAMKK2
PRKAA1	BTF3L4
PRKAA1	ELAVL1
PRKAA1	PRKACB
PRKAA1	PRKACA
PRKAA1	PHKG2
PRKAA1	CDK7
PRKAA1	GYS1
PRKAA1	GYS2
PRKAA1	PFKFB1
PRKAA1	PFKFB3
PRKAA1	PFKFB4
PRKAA1	FOXO4
PRKAA1	FOXO6
PRKAA1	LIPE
PRKAA1	MLYCD
PRKAA1	TBC1D1
PRKAA1	PRKAB2
PRKAA1	PRKAR1A
PRKAA1	PRKAR1B
PRKAA1	PRKAR2A
PRKAA1	ACVR1
PRKAA1	ACVR1C
PRKAA1	AKAP4
PRKAA1	ERC1
PRKAA1	GTF2H2
PRKAA1	PHKA2
PRKAA1	PYCARD
PRKAA1	PYDC1
BRCA1	ACD
BRCA1	POT1
BRCA1	AKT1
BRCA1	ANAPC1
BRCA1	ANAPC10
BRCA1	ANAPC2
BRCA1	ANAPC11
BRCA1	CDC27
BRCA1	UBE2S
BRCA1	ANAPC16
BRCA1	ANAPC4
BRCA1	CDC26
BRCA1	ANAPC5
BRCA1	ANAPC7
BRCA1	BUB1B
BRCA1	CDC23
BRCA1	AR
BRCA1	KLK3
BRCA1	SMARCA2
